rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,v2s15_first,v2s15_obj,v2s15_cap,v2s15_share,v2s15_A,v2s15_any,v2s15_lcs,mass15_first,mass15_obj,mass15_cap,mass15_share,mass15_A,mass15_any,mass15_lcs,v2s15_best_target_cap,mass15_best_target_cap,v2s15_best_wrong_cap,mass15_best_wrong_cap
2026_08_16/s6,15,球L,<1.0°,clear,,0.56,4.39,1,correct,球L,1.568,0.605,0.302,correct_only,hit,correct,球L,1.568,0.605,0.107,correct_only,hit,1.568,1.568,,
2026_08_18/000,1,球L,≥2.5°,clear,,2.61,3.24,1,correct,球L,0.881,0.838,0.159,correct_only,hit,correct,球L,0.881,0.838,0.159,correct_only,hit,0.881,0.881,,
2026_08_18/000,2,球L,≥2.5°,clear,,2.61,3.01,1,correct,球L,0.746,0.916,0.058,correct_only,hit,correct,球L,0.746,0.916,0.058,correct_only,hit,0.832,0.832,,
2026_08_18/000,3,球R,1.0–2.5°,clear,,2.19,3.29,1,correct,球R,0.448,0.578,0.73,mixed,hit,correct,球R,0.448,0.578,0.73,mixed,hit,0.448,0.448,0.931,0.931
2026_08_18/000,4,球R,1.0–2.5°,clear,,2.19,3.37,1,correct,球R,0.363,0.543,0.84,mixed,miss,correct,球R,0.363,0.543,0.84,mixed,miss,0.363,0.363,0.772,0.772
2026_08_18/000,5,球M,1.0–2.5°,clear,,2.19,3.01,1,correct,球M,0.808,0.652,0.42,correct_only,hit,correct,球M,0.808,0.652,0.42,correct_only,hit,0.808,0.808,,
2026_08_18/000,6,球L,≥2.5°,clear,,2.61,3.02,1,correct,球L,1.287,0.735,0.214,correct_only,hit,correct,球L,1.287,0.735,0.214,correct_only,hit,1.287,1.287,,
2026_08_18/000,7,球M,1.0–2.5°,clear,,2.19,2.98,1,correct,球M,0.932,0.613,0.37,correct_only,hit,correct,球M,0.932,0.613,0.37,correct_only,hit,0.932,0.932,,
2026_08_18/000,8,球R,1.0–2.5°,clear,,2.19,3.08,1,wrong,球M,0.818,0.648,0.523,wrong_only,hit,wrong,球M,0.818,0.648,0.523,wrong_only,miss,,,0.974,0.974
2026_08_18/000,9,球R,1.0–2.5°,clear,,2.19,3.26,1,correct,球R,0.697,0.469,0.895,mixed,miss,wrong,球M,0.624,0.524,1.117,wrong_only,miss,0.697,,0.482,0.624
2026_08_18/000,10,球M,1.0–2.5°,clear,,2.19,2.99,1,correct,球M,0.863,0.639,0.368,correct_only,hit,correct,球M,0.863,0.639,0.368,correct_only,hit,0.919,0.919,,
2026_08_18/000,11,球L,≥2.5°,clear,,2.61,3.02,1,correct,球L,1.2,0.766,0.181,mixed,hit,correct,球L,1.2,0.766,0.181,mixed,hit,1.348,1.348,0.761,0.761
2026_08_18/000,12,球M,1.0–2.5°,clear,,2.19,3.08,1,correct,球M,0.924,0.618,0.356,correct_only,hit,correct,球M,0.924,0.618,0.356,correct_only,hit,0.992,0.992,,
2026_08_18/000,13,球R,1.0–2.5°,clear,,2.19,3.33,1,correct,球R,0.768,0.679,0.473,mixed,hit,correct,球R,0.768,0.679,0.473,mixed,hit,0.796,0.796,0.932,0.932
2026_08_18/000,14,球M,1.0–2.5°,clear,,2.19,3.08,1,correct,球M,0.953,0.667,0.316,correct_only,hit,correct,球M,0.953,0.667,0.316,correct_only,hit,0.977,0.977,,
2026_08_18/000,15,球L,≥2.5°,clear,,2.61,3.02,1,correct,球L,1.217,0.704,0.141,correct_only,hit,correct,球L,1.217,0.704,0.103,correct_only,hit,1.217,1.217,,
2026_08_20/000,1,球R,1.0–2.5°,clear,,2.17,2.16,1,correct,球R,0.792,0.643,0.13,correct_only,hit,correct,球R,0.792,0.643,0.13,correct_only,hit,0.836,0.836,,
2026_08_20/000,2,香蕉,<1.0°,clear,,0.41,2.25,1,wrong,球M,1.501,0.472,0.153,wrong_only,miss,wrong,球M,1.501,0.472,0.153,wrong_only,miss,,,1.501,1.501
2026_08_20/000,3,纸箱子,≥2.5°,clear,,24.07,3.06,1,correct,纸箱子,0.718,1.0,0.0,correct_only,hit,correct,纸箱子,0.718,1.0,0.0,correct_only,hit,0.718,0.718,,
2026_08_20/000,4,苹果粉,1.0–2.5°,clear,,2.09,2.24,1,correct,苹果粉,0.901,0.819,0.253,mixed,hit,correct,苹果粉,0.901,0.819,0.253,mixed,hit,0.901,0.901,1.174,1.174
2026_08_20/000,5,白杯1,1.0–2.5°,clear,,1.84,2.3,1,correct,白杯1,0.663,0.375,0.842,correct_only,miss,correct,白杯1,0.734,0.398,1.173,correct_only,hit,0.663,0.734,0.863,0.567
2026_08_20/000,6,水瓶,<1.0°,clear,,0.41,2.3,1,wrong,球M,1.205,0.615,0.079,wrong_only,miss,wrong,白杯1,0.785,0.398,1.232,mixed,hit,,0.563,1.205,1.205
2026_08_20/000,7,红杯,1.0–2.5°,clear,,1.84,2.31,1,wrong,白杯2,1.032,0.442,0.793,wrong_only,miss,wrong,白杯2,1.032,0.442,0.314,wrong_only,miss,,0.481,1.382,1.382
2026_08_20/000,8,苹果红,<1.0°,clear,,0.41,2.26,1,wrong,球L,1.279,0.432,0.533,wrong_only,miss,wrong,球L,1.279,0.432,0.533,wrong_only,miss,,,1.279,1.279
2026_08_20/000,9,球M,1.0–2.5°,clear,,1.83,2.23,1,correct,球M,0.483,0.699,0.153,mixed,hit,correct,球M,0.483,0.699,0.056,mixed,hit,1.508,1.508,1.007,1.007
2026_08_20/000,10,橘子,<1.0°,clear,,0.41,2.35,1,wrong,苹果红,0.916,0.378,0.466,wrong_only,miss,wrong,苹果红,0.916,0.378,0.368,wrong_only,miss,,,0.916,0.916
2026_08_20/000,11,球L,1.0–2.5°,clear,,1.71,2.29,1,correct,球L,1.036,0.506,0.309,mixed,hit,correct,球L,1.036,0.506,0.309,correct_only,hit,1.23,1.23,1.019,1.019
2026_08_20/000,12,白杯2,1.0–2.5°,clear,,2.03,2.31,1,correct,白杯2,1.076,0.498,0.477,correct_only,hit,correct,白杯2,1.076,0.498,0.337,mixed,hit,1.076,1.076,1.302,1.302
2026_08_20/001,1,球R,1.0–2.5°,clear,,1.28,2.72,0,correct,球R,1.269,0.407,0.272,correct_only,hit,correct,球R,1.269,0.407,0.259,correct_only,hit,1.269,1.269,,
2026_08_20/001,2,球R,1.0–2.5°,clear,,1.28,3.19,0,none,,,,,none,hit,none,,,,,none,hit,1.098,1.098,,
2026_08_20/001,3,苹果红,<1.0°,clear,,0.13,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_20/001,4,球L,1.0–2.5°,clear,,1.03,3.13,0,wrong,苹果粉,0.54,0.619,0.835,wrong_only,hit,wrong,苹果粉,0.54,0.619,0.835,wrong_only,hit,1.344,1.344,0.54,0.54
2026_08_20/001,5,苹果粉,1.0–2.5°,clear,,1.31,3.22,0,correct,苹果粉,1.08,0.683,0.608,correct_only,hit,correct,苹果粉,1.08,0.683,0.608,correct_only,hit,1.08,1.08,0.958,
