rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/000,e1,v7,,noocc15,11,苹果,fruit(4-5cm),4.22,≥2.5°,clear,0,0,schedule,1,hit,1,110.28,116.1,4,4,4,4,correct,苹果,2.55,1.72,0.03,0.826,0.619,0.09,0.701,0.83,correct_only,1,0,0,0,,correct,correct,correct,苹果,3.8,correct,苹果,3.8,0.619,,0.861,,1.66
2026_08_16/000,e1,v7,,noocc15,12,球R,ball(3cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,117.26,123.17,1,1,1,1,correct,球R,6.1,0.35,3.49,1.0,0.441,0.0,0.861,5.75,correct_only,1,0,0,0,,correct,correct,correct,球R,5.75,correct,球R,5.75,0.441,,1.0,,1.47
2026_08_16/001,e2,v7,stress,noocc15,1,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,15.68,19.4,2,2,2,2,correct,球L,2.67,0.5,2.17,0.904,0.723,0.026,0.912,2.17,correct_only,1,0,0,0,,correct,correct,correct,球L,2.55,correct,球L,2.55,0.723,,0.904,,3.17
2026_08_16/001,e2,v7,stress,noocc15,2,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,32.06,40.2,6,6,6,6,wrong,球L,0.45,0.12,-0.05,0.591,1.472,0.283,0.727,0.32,mixed,1,1,1,0,球L,wrong,wrong,correct,球R,6.45,correct,球R,6.45,1.613,1.472,0.722,0.591,3.31
2026_08_16/001,e2,v7,stress,noocc15,3,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,noocc15,4,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,noocc15,5,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,43.24,45.72,1,1,1,1,correct,球M,2.18,0.5,1.68,0.992,0.381,0.003,0.965,1.68,correct_only,1,0,0,0,,correct,correct,correct,球M,1.68,correct,球M,1.68,0.381,,0.992,,3.61
2026_08_16/001,e2,v7,stress,noocc15,6,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,noocc15,7,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,noocc15,8,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,noocc15,9,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
