rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s2,s2,v7,,cluster010,14,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,108.79,114.8,1,1,1,1,correct,球L,5.87,0.78,3.16,0.583,0.552,0.252,0.648,5.09,correct_only,1,0,0,0,,correct,correct,correct,球L,5.09,correct,球L,5.09,0.552,,0.583,,2.46
2026_08_16/s2,s2,v7,,cluster010,15,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,115.96,121.97,3,2,1,1,correct,球L,4.38,3.02,1.67,0.79,0.758,0.099,0.643,1.35,correct_only,1,0,0,0,,correct,correct,correct,球L,1.35,correct,球L,1.35,0.758,0.111,0.79,0.791,2.42
2026_08_16/s3,s3,v7,,cluster010,1,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,18.24,23.94,4,4,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球M,4.22,none,,,0.099,,1.0,,3.54
2026_08_16/s3,s3,v7,,cluster010,2,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,25.1,30.88,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球L,6.07,none,,,0.103,,0.882,,3.35
2026_08_16/s3,s3,v7,,cluster010,3,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,32.04,37.86,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球L,6.5,none,,,0.146,,0.977,,3.35
2026_08_16/s3,s3,v7,,cluster010,4,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,39.02,44.84,4,4,4,4,correct,球M,1.62,1.3,-0.9,0.99,0.924,0.003,0.808,0.32,correct_only,1,0,0,0,,correct,correct,correct,球M,2.17,correct,球M,2.17,1.174,,1.0,,3.91
2026_08_16/s3,s3,v7,,cluster010,5,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,46.0,51.67,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球R,6.45,none,,,0.193,,1.0,,3.4
2026_08_16/s3,s3,v7,,cluster010,6,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,52.83,58.53,1,1,1,1,correct,球R,5.63,-0.82,3.23,1.0,0.253,0.0,0.959,6.45,correct_only,1,0,0,0,,correct,correct,correct,球R,6.45,correct,球R,6.45,0.253,,1.0,,3.39
2026_08_16/s3,s3,v7,,cluster010,7,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,59.69,65.49,2,2,2,2,correct,球L,4.05,-0.55,1.55,0.826,0.273,0.066,0.926,4.6,correct_only,1,0,0,0,,correct,correct,correct,球L,6.87,correct,球L,6.87,0.475,,0.826,,3.35
2026_08_16/s3,s3,v7,,cluster010,8,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,66.69,72.43,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球L,6.06,none,,,0.198,,1.0,,3.35
2026_08_16/s3,s3,v7,,cluster010,9,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,73.59,79.32,2,2,2,2,correct,球M,4.96,-0.99,2.53,0.996,1.557,0.001,0.678,5.96,correct_only,1,0,0,0,,correct,correct,correct,球M,6.45,correct,球M,6.45,1.557,,1.0,,3.41
2026_08_16/s3,s3,v7,,cluster010,10,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,80.48,86.27,3,3,3,3,wrong,球M,3.46,2.49,0.97,1.0,0.247,0.0,0.949,0.97,mixed,1,1,1,1,球L|球M,wrong,wrong,wrong,球L,7.91,wrong,球L,7.91,0.741,0.389,0.772,1.0,3.4
2026_08_16/s3,s3,v7,,cluster010,11,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,87.43,93.42,1,1,1,1,correct,球L,6.0,-1.91,3.31,0.656,0.389,0.159,0.868,7.91,correct_only,1,0,0,0,,correct,correct,correct,球L,7.91,correct,球L,7.91,0.389,,0.656,,3.36
2026_08_16/s3,s3,v7,,cluster010,12,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,94.58,100.52,2,2,2,2,correct,球M,2.72,1.63,0.08,1.0,0.904,0.0,0.893,1.08,correct_only,1,0,0,0,,correct,correct,correct,球M,2.17,correct,球M,2.17,0.904,,1.0,,3.98
2026_08_16/s3,s3,v7,,cluster010,13,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,101.68,107.62,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球R,6.39,none,,,0.124,,1.0,,3.39
2026_08_16/s3,s3,v7,,cluster010,14,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,108.78,114.79,4,4,3,3,correct,球M,0.77,0.5,-1.94,1.0,1.201,0.0,0.868,0.27,correct_only,1,0,0,0,,correct,correct,correct,球M,2.06,correct,球M,2.06,1.321,0.162,1.0,0.657,3.44
2026_08_16/s3,s3,v7,,cluster010,15,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,115.95,121.92,1,1,1,1,correct,球R,6.47,-0.63,3.8,0.938,0.517,0.048,0.91,7.1,correct_only,1,0,0,0,,correct,correct,correct,球R,7.1,correct,球R,7.1,0.517,,0.938,,3.38
2026_08_16/s4,s4,v8,,cluster010,1,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,15.68,21.4,3,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球L,6.28,none,,,0.054,,1.0,,3.81
2026_08_16/s4,s4,v8,,cluster010,2,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,22.56,28.34,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球L,4.06,none,,,0.062,,1.0,,3.8
2026_08_16/s4,s4,v8,,cluster010,3,球M,ball(3cm),2.82,≥2.5°,clear,0,0,schedule,1,hit,1,29.5,35.29,5,4,1,1,correct,球M,3.96,3.1,1.47,0.998,0.413,0.0,0.915,0.87,correct_only,1,0,0,0,,correct,wrong,correct,球M,1.46,correct,球M,0.87,0.413,0.189,1.0,1.0,3.82
2026_08_16/s4,s4,v8,,cluster010,4,球R,ball(3cm),1.28,1.0–2.5°,clear,0,0,schedule,1,hit,1,36.45,42.22,4,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,correct,球R,6.72,none,,,0.004,0.004,1.0,1.0,3.92
2026_08_16/s4,s4,v8,,cluster010,5,球R,ball(3cm),1.28,1.0–2.5°,clear,0,0,schedule,1,miss,1,43.38,49.06,2,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球R,6.72,none,,,0.004,,1.0,,3.85
2026_08_16/s4,s4,v8,,cluster010,6,球M,ball(3cm),2.82,≥2.5°,clear,0,0,schedule,1,hit,1,50.22,55.97,4,4,4,4,wrong,球R,1.26,0.67,-1.19,0.985,0.303,0.017,0.95,0.6,mixed,1,1,1,0,球R,wrong,wrong,correct,球M,1.2,correct,球M,1.2,0.435,0.303,0.995,0.985,3.87
2026_08_16/s4,s4,v8,,cluster010,7,球M,ball(3cm),2.82,≥2.5°,clear,0,0,schedule,1,hit,1,57.13,62.9,4,4,3,3,correct,球M,1.75,1.21,-0.72,0.989,0.695,0.004,0.855,0.54,correct_only,1,0,0,0,,correct,correct,correct,球M,1.9,correct,球M,1.57,0.755,,1.0,,3.9
2026_08_16/s4,s4,v8,,cluster010,8,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,72.63,78.38,3,3,3,3,wrong,球M,0.46,0.05,-1.99,1.0,0.854,0.0,0.824,0.41,mixed,1,1,1,0,球M,wrong,wrong,correct,球L,2.04,correct,球L,2.04,0.832,0.854,0.975,1.0,3.79
