rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,ours_first,ours_obj,ours_cap,ours_share,ours_A,ours_any,ours_lcs,noocc_ng_first,noocc_ng_obj,noocc_ng_cap,noocc_ng_share,noocc_ng_A,noocc_ng_any,noocc_ng_lcs,ours_best_target_cap,noocc_ng_best_target_cap,ours_best_wrong_cap,noocc_ng_best_wrong_cap
2026_08_16/s6,11,球L,<1.0°,clear,,0.56,4.41,1,correct,球L,1.103,0.806,0.065,mixed,hit,correct,球L,1.326,0.652,0.167,mixed,hit,1.103,1.326,0.849,1.175
2026_08_16/s6,12,球M,1.0–2.5°,clear,,1.79,4.55,1,correct,球M,1.151,0.901,0.146,mixed,hit,correct,球M,1.394,0.883,0.176,mixed,hit,1.151,1.394,0.417,0.857
2026_08_16/s6,13,球L,<1.0°,clear,,0.56,4.48,1,wrong,球M,0.543,0.867,0.122,mixed,hit,wrong,球M,0.836,0.905,0.075,mixed,hit,1.082,1.318,1.289,1.564
2026_08_16/s6,14,球R,1.0–2.5°,clear,,1.85,4.53,1,correct,球R,0.548,0.865,0.195,mixed,hit,correct,球R,1.038,0.896,0.14,mixed,hit,0.872,1.386,1.299,1.601
2026_08_16/s6,15,球L,<1.0°,clear,,0.56,4.39,1,correct,球L,1.186,0.775,0.085,correct_only,hit,correct,球L,1.414,0.679,0.147,correct_only,hit,1.186,1.414,,
2026_08_18/000,1,球L,≥2.5°,clear,,2.61,3.24,1,correct,球L,0.589,0.996,0.003,correct_only,hit,correct,球L,0.594,0.958,0.047,correct_only,hit,0.589,0.594,,0.012
2026_08_18/000,2,球L,≥2.5°,clear,,2.61,3.01,1,correct,球L,0.405,1.0,0.0,correct_only,hit,correct,球L,0.394,0.994,0.005,correct_only,hit,0.527,0.515,,
2026_08_18/000,3,球R,1.0–2.5°,clear,,2.19,3.29,1,correct,球R,0.266,0.86,0.147,mixed,hit,correct,球R,0.475,0.938,0.061,mixed,hit,0.266,0.475,0.722,0.872
2026_08_18/000,4,球R,1.0–2.5°,clear,,2.19,3.37,1,wrong,球M,0.377,0.736,0.395,wrong_only,miss,correct,球R,0.348,0.945,0.052,mixed,miss,0.182,0.348,0.377,0.412
2026_08_18/000,5,球M,1.0–2.5°,clear,,2.19,3.01,1,correct,球M,0.631,0.865,0.163,correct_only,hit,correct,球M,0.738,0.792,0.291,correct_only,hit,0.631,0.744,,
