rec,card,room,map,station,tags,target,outcome,theta_deg,theta_src,vote,dur_s,dist_m
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球L,extra,0.64,unit,0.32,2.5,4.34
003,c4,新房,v9,4.52m α14.5°,beyond_occ,苹果粉,extra,1.57,unit,0.32,1.2,4.29
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球L,extra,0.64,unit,0.29,5.1,4.29
003,c4,新房,v9,4.52m α14.5°,beyond_occ,苹果粉,extra,1.57,unit,0.27,2.6,4.31
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球L,extra,0.64,unit,0.27,21.2,4.32
c1_1,c4,新房,v9,4.25m α22.2°,beyond_occ,球L,hit,0.92,unit,0.38,3.2,4.04
c1_1,c4,新房,v9,4.25m α22.2°,beyond_occ,球R,miss,0.985,station,,,
c1_1,c4,新房,v9,4.25m α22.2°,beyond_occ,球R,miss,0.985,station,,,
c1_1,c4,新房,v9,4.25m α22.2°,beyond_occ,球M,miss,0.985,station,,,
c1_1,c4,新房,v9,4.25m α22.2°,beyond_occ,球M,miss,0.985,station,,,
c1_1,c4,新房,v9,4.25m α22.2°,beyond_occ,苹果粉,extra,1.72,unit,0.46,2.5,4.12
c1_1,c4,新房,v9,4.25m α22.2°,beyond_occ,球L,hit,0.92,unit,0.34,44.0,4.16
c1_1,c4,新房,v9,4.25m α22.2°,beyond_occ,球R,miss,0.9,unit,,,
c1_1,c4,新房,v9,4.25m α22.2°,beyond_occ,球L,hit,0.985,station,0.28,41.5,4.18
c1_1,c4,新房,v9,4.25m α22.2°,beyond_occ,球L,hit,0.985,station,0.28,41.5,4.18
c1_1,c4,新房,v9,4.25m α22.2°,beyond_occ,球M,miss,0.68,unit,,,
c1_1,c4,新房,v9,4.25m α22.2°,beyond_occ,球L,hit,0.92,unit,0.29,11.9,4.16
c1_1,c4,新房,v9,4.25m α22.2°,beyond_occ,球M,miss,0.68,unit,,,
c1_1,c4,新房,v9,4.25m α22.2°,beyond_occ,球R,miss,0.9,unit,,,
c1_1,c4,新房,v9,4.25m α22.2°,beyond_occ,球M,miss,0.68,unit,,,
c1_1,c4,新房,v9,4.25m α22.2°,beyond_occ,球R,miss,0.9,unit,,,
c1_2,c4,新房,v9,4.31m α26.9°,,球L,hit,1.04,unit,0.27,1.1,4.22
c1_2,c4,新房,v9,4.31m α26.9°,,球L,extra,1.04,unit,0.23,1.1,4.25
c1_2,c4,新房,v9,4.31m α26.9°,,球L,extra,1.04,unit,0.33,10.8,4.23
c1_2,c4,新房,v9,4.31m α26.9°,,球R,hit,1.02,station,0.31,12.8,4.29
c1_2,c4,新房,v9,4.31m α26.9°,,球R,hit,1.02,station,0.31,12.8,4.29
c1_2,c4,新房,v9,4.31m α26.9°,,球M,miss,1.02,station,,,
c1_2,c4,新房,v9,4.31m α26.9°,,球M,miss,1.02,station,,,
c1_2,c4,新房,v9,4.31m α26.9°,,球L,hit,1.04,unit,0.23,19.1,4.25
c1_2,c4,新房,v9,4.31m α26.9°,,球R,hit,0.81,unit,0.25,5.9,4.26
c1_2,c4,新房,v9,4.31m α26.9°,,球L,hit,1.02,station,0.31,8.5,4.26
c1_2,c4,新房,v9,4.31m α26.9°,,球L,hit,1.02,station,0.31,8.5,4.26
c1_2,c4,新房,v9,4.31m α26.9°,,球M,hit,0.65,unit,0.25,6.5,4.26
c1_2,c4,新房,v9,4.31m α26.9°,,球L,hit,1.04,unit,0.27,3.4,4.26
c1_2,c4,新房,v9,4.31m α26.9°,,球M,hit,0.65,unit,0.28,3.4,4.27
c1_2,c4,新房,v9,4.31m α26.9°,,球L,extra,1.04,unit,0.24,13.2,4.25
c1_2,c4,新房,v9,4.31m α26.9°,,球R,hit,0.81,unit,0.29,6.4,4.26
c1_2,c4,新房,v9,4.31m α26.9°,,球M,hit,0.65,unit,0.23,11.6,4.26
c1_2,c4,新房,v9,4.31m α26.9°,,球R,miss,0.81,unit,,,
c1_3,c4,新房,v9,3.77m α26.7°,,球L,hit,1.19,unit,0.32,7.9,3.72
c1_3,c4,新房,v9,3.77m α26.7°,,球M,extra,0.77,unit,0.28,1.0,3.74
c1_3,c4,新房,v9,3.77m α26.7°,,球R,hit,0.96,station,0.29,3.5,3.75
